project,bug_ID,patch_ID,label,verdict,consistency,time
Math,41,482_PFL_SimFix_Patch_15_15,Correct,A,C,614.4839427471161
Math,41,598_NFL_SimFix_Patch_797_797,Correct,A,C,614.2865436077117
Math,41,Math_bug41,Correct,A,C,614.1359903812407
Math,41,Patch162,Incorrect,A,I,614.5602521896362
Math,42,209_PFL_Nopol_Patch_1_1,Incorrect,R,C,29.69719362258911
Math,42,243_NFL_kPAR_Patch_3449_1703,Incorrect,A,I,614.5226881504059
Math,42,290_NFL_Nopol_Patch_1_1,Incorrect,R,C,29.52771759033203
Math,42,Math_bug42,Correct,A,C,614.7984499931334
Math,42,Patch163,Incorrect,R,C,29.387691736221317
Math,44,578_NFL_SimFix_Patch_4783_4783,Incorrect,A,I,19.54696822166443
Math,44,Math_bug44,Correct,A,C,20.790517091751102
Math,49,112_NFL_Kali-A_Patch_7_7,Incorrect,R,C,30.31092095375061
Math,49,162_NFL_DynaMoth_Patch_1_1,Incorrect,R,C,30.87537455558777
Math,49,229_NFL_kPAR_Patch_2_1,Incorrect,A,I,614.6494214534761
Math,49,281_NFL_Nopol_Patch_1_1,Incorrect,R,C,30.7693829536438
Math,49,356_PFL_ARJA_Patch_130_99,Incorrect,A,I,614.4992825984955
Math,49,Math_bug49,Correct,A,C,614.7608771324158
Math,49,Patch165,Incorrect,R,C,30.85267519950867
Math,50,104_PFL_Kali-A_Patch_2_2,Correct,A,C,614.6505246162416
Math,50,123_PFL_DynaMoth_Patch_1_1,Correct,A,C,614.4274010658263
Math,50,143_NFL_Kali-A_Patch_2_2,Correct,A,C,614.4905059337616
Math,50,170_NFL_DynaMoth_Patch_1_1,Correct,A,C,614.7876341342926
Math,50,191_PFL_kPAR_Patch_2_2,Correct,A,C,614.578732252121
Math,50,211_PFL_Nopol_Patch_1_1,Correct,A,C,614.3999178409576
Math,50,288_PFL_TBar_Patch_4_4,Incorrect,R,C,30.635751485824585
Math,50,31_PFL_AVATAR_Patch_2_2,Incorrect,A,I,614.5819571018219
Math,50,373_PFL_ARJA_Patch_3_3,Correct,A,C,614.5517289638518
Math,50,377_NFL_TBar_Patch_1_1,Incorrect,A,I,614.6256918907167
Math,50,405_PFL_GenProg-A_Patch_2_2,Correct,A,C,614.4305157661437
Math,50,437_PFL_RSRepair-A_Patch_2_2,Correct,A,C,614.3988475799559
Math,50,463_PFL_SimFix_Patch_18_18,Incorrect,A,I,614.4955189228058
Math,50,50_NFL_AVATAR_Patch_8_7,Incorrect,A,I,614.6274030208588
Math,50,536_PFL_FixMiner_Patch_2_2,Incorrect,A,I,614.6647429466248
Math,50,569_NFL_SimFix_Patch_18_18,Incorrect,A,I,614.56760430336
Math,50,645_NFL_FixMiner_Patch_26_20,Incorrect,A,I,614.5894510746002
Math,50,Math_bug50,Correct,A,C,614.4379212856293
Math,50,Patch166,Incorrect,R,C,30.74365496635437
Math,50,Patch44,Correct,A,C,614.7058608531953
Math,50,Patch45,Correct,A,C,614.4771144390106
Math,50,Patch46,Correct,A,C,614.6798703670503
Math,50,PatchHDRepair5,Incorrect,A,I,614.5400340557097
Math,53,357_PFL_ARJA_Patch_61_50,Incorrect,A,I,613.0717628002168
Math,53,421_PFL_RSRepair-A_Patch_4_3,Incorrect,A,I,612.8650007247925
Math,53,473_PFL_SimFix_Patch_2_2,Correct,A,C,612.6496307849884
Math,53,584_NFL_SimFix_Patch_2_2,Correct,A,C,612.8364806175233
Math,53,Math_bug53,Correct,A,C,612.8428499698639
Math,53,Patch47,Correct,A,C,613.1384289264679
Math,53,PatchHDRepair6,Incorrect,R,C,26.466480255126953
Math,57,26_NFL_AVATAR_Patch_447_97,Incorrect,A,I,622.4179019927979
Math,57,333_PFL_TBar_Patch_1_1,Correct,A,C,613.6516613960266
Math,57,410_NFL_TBar_Patch_16_7,Correct,A,C,612.711549282074
Math,57,486_PFL_SimFix_Patch_16_16,Correct,A,C,612.8422811031343
Math,57,574_PFL_FixMiner_Patch_1_1,Correct,A,C,613.338835477829
Math,57,605_NFL_SimFix_Patch_169_169,Correct,A,C,613.4121699333191
Math,57,Math_bug57,Correct,A,C,613.3487982749939
Math,57,Patch167,Incorrect,R,C,51.102555990219116
Math,57,Patch48,Incorrect,R,C,27.89683032035828
Math,58,171_NFL_DynaMoth_Patch_1_1,Incorrect,R,C,29.419723987579346
Math,58,176_PFL_kPAR_Patch_3_3,Correct,A,C,26.39003562927246
Math,58,249_NFL_kPAR_Patch_130_85,Correct,A,C,24.96565008163452
Math,58,299_NFL_Nopol_Patch_1_1,Incorrect,A,I,26.60553479194641
Math,58,309_PFL_TBar_Patch_2_1,Correct,A,C,26.36433959007263
Math,58,364_PFL_ARJA_Patch_1_1,Correct,A,C,26.53772759437561
Math,58,429_PFL_RSRepair-A_Patch_25_7,Correct,A,C,27.03708028793335
Math,58,455_NFL_ARJA_Patch_184_149,Correct,A,C,26.085756063461304
Math,58,543_NFL_RSRepair-A_Patch_4_3,Incorrect,R,C,29.404542922973636
Math,58,Math_bug58,Correct,A,C,26.625373363494873
Math,58,Patch168,Incorrect,A,I,30.016111850738525
Math,58,Patch49,Incorrect,A,I,26.257551193237305
Math,61,230_PFL_ACS_Patch_1_1,Correct,A,C,612.9549796581267
Math,61,316_NFL_ACS_Patch_1_1,Correct,A,C,613.4077932834625
Math,61,Math_bug61,Correct,A,C,613.2611029148103
Math,69,286_NFL_Nopol_Patch_1_1,Incorrect,R,C,27.55765390396118
Math,69,576_NFL_SimFix_Patch_63_63,Incorrect,R,C,12.902673721313475
Math,69,Math_bug69,Correct,A,C,613.685605764389
Math,69,Patch169,Incorrect,R,C,27.25366759300232
Math,70,134_PFL_kPAR_Patch_16_16,Correct,A,C,613.8537638187407
Math,70,251_PFL_TBar_Patch_28_28,Correct,A,C,613.5831077098846
Math,70,344_PFL_ARJA_Patch_16_14,Correct,A,C,613.6494519710542
Math,70,379_PFL_GenProg-A_Patch_39_7,Correct,A,C,613.6318790912627
Math,70,409_PFL_RSRepair-A_Patch_25_7,Correct,A,C,613.6179490089418
Math,70,443_PFL_SimFix_Patch_1_1,Correct,A,C,613.350088596344
Math,70,508_PFL_FixMiner_Patch_4_2,Correct,A,C,613.6445302963258
Math,70,546_NFL_SimFix_Patch_1_1,Correct,A,C,613.7157471179962
Math,70,Math_bug70,Correct,A,C,613.6150100231172
Math,70,Patch51,Correct,A,C,613.7751014232634
Math,70,PatchHDRepair7,Correct,A,C,613.8304781913757
Math,71,172_NFL_DynaMoth_Patch_1_1,Incorrect,R,C,13.038113594055176
Math,71,481_PFL_SimFix_Patch_91_91,Correct,R,I,27.71327114105225
Math,71,597_NFL_SimFix_Patch_899_899,Correct,R,I,27.36713242530823
Math,71,Math_bug71,Correct,R,I,27.78765273094177
Math,71,Patch53,Incorrect,R,C,28.57419323921204
Math,73,238_PFL_ACS_Patch_1_1,Incorrect,R,C,24.94719672203064
Math,73,293_NFL_Nopol_Patch_1_1,Incorrect,R,C,24.65039348602295
Math,73,325_NFL_ACS_Patch_1_1,Incorrect,R,C,24.762803554534912
Math,73,476_PFL_SimFix_Patch_4_4,Incorrect,R,C,24.40753412246704
Math,73,590_NFL_SimFix_Patch_4_4,Incorrect,R,C,24.3984968662262
